,title,url,publishedAt,source
0,Digital Fortification: RBI’s New Measures and the Future of Fraud Prevention in India (Shailendra Prajapati),https://www.finextra.com/blogposting/27840/digital-fortification-rbis-new-measures-and-the-future-of-fraud-prevention-in-india,2025-02-14T04:11:50Z,"{'id': None, 'name': 'Finextra'}"
1,"India’s JioStar Launches Unified Streaming Platform JioHotstar, Eyes Billion-Screen Reach",https://variety.com/2025/tv/news/india-jiostar-jiohotstar-1236306289/,2025-02-14T00:30:00Z,"{'id': None, 'name': 'Variety'}"
2,Latent Labs raises $50M to develop new proteins with AI,https://siliconangle.com/2025/02/13/latent-labs-raises-50m-develop-new-proteins-ai/,2025-02-13T22:12:30Z,"{'id': None, 'name': 'SiliconANGLE News'}"
3,"Foundational blocks of Amazon SageMaker Unified Studio: An admin’s guide to implement unified access to all your data, analytics, and AI",https://aws.amazon.com/blogs/big-data/foundational-blocks-of-amazon-sagemaker-unified-studio-an-admins-guide-to-implement-unified-access-to-all-your-data-analytics-and-ai/,2025-02-13T22:07:20Z,"{'id': None, 'name': 'Amazon.com'}"
4,"Build a dynamic, role-based AI agent using Amazon Bedrock inline agents",https://aws.amazon.com/blogs/machine-learning/build-a-dynamic-role-based-ai-agent-using-amazon-bedrock-inline-agents/,2025-02-13T20:56:28Z,"{'id': None, 'name': 'Amazon.com'}"
5,Tech has changed. Dating? It’s complicated.,https://news.harvard.edu/gazette/story/2025/02/tech-has-changed-dating-its-complicated/,2025-02-13T19:56:32Z,"{'id': None, 'name': 'Harvard School of Engineering and Applied Sciences'}"
6,The end of data silos? How SAP is redefining enterprise AI with Joule and Databricks,https://www.zdnet.com/article/the-end-of-data-silos-how-sap-is-redefining-enterprise-ai-with-joule-and-databricks/,2025-02-13T19:36:22Z,"{'id': None, 'name': 'ZDNet'}"
7,The Cyber Resiliency Summit returns with new insights: Catch the encore presentation Feb. 18,https://siliconangle.com/2025/02/13/watch-cyber-resiliency-summit-cyber-resilience-insights-cyberresiliencysummit/,2025-02-13T19:27:34Z,"{'id': None, 'name': 'SiliconANGLE News'}"
8,Enzymes are the engines of life − machine learning tools could help scientists design new ones to tackle disease and climate change,https://theconversation.com/enzymes-are-the-engines-of-life-machine-learning-tools-could-help-scientists-design-new-ones-to-tackle-disease-and-climate-change-249565,2025-02-13T19:02:46Z,"{'id': None, 'name': 'The Conversation Africa'}"
9,7 Attractive Sectors For Growth Stocks In The Next Decade,https://www.forbes.com/sites/investor-hub/article/top-sectors-growth-stocks-next-decade/,2025-02-13T18:55:39Z,"{'id': None, 'name': 'Forbes'}"
10,"YYC DataCon returns in two weeks, bringing Calgary’s data and AI community together",https://www.digitaljournal.com/tech-science/yyc-datacon-returns-in-two-weeks-bringing-calgarys-data-and-ai-community-together/article,2025-02-13T17:55:13Z,"{'id': None, 'name': 'Digital Journal'}"
11,AI-powered humanoid robotics company Apptronik raises $350M,https://siliconangle.com/2025/02/13/ai-powered-humanoid-robotics-company-apptronik-raises-350m/,2025-02-13T17:45:17Z,"{'id': None, 'name': 'SiliconANGLE News'}"
12,Interview Kickstart AI Course 2025 Update - Best GenAI Course For Top AI Engineer Roles at Google Facebook Amazon Apple,https://www.globenewswire.com/news-release/2025/02/13/3026134/0/en/Interview-Kickstart-AI-Course-2025-Update-Best-GenAI-Course-For-Top-AI-Engineer-Roles-at-Google-Facebook-Amazon-Apple.html,2025-02-13T17:18:00Z,"{'id': None, 'name': 'GlobeNewswire'}"
13,Europe enters the AI race with $207 billion InvestAI initiative,https://www.techspot.com/news/106756-europe-funding-200-billion-initiative-build-world-most.html,2025-02-13T17:07:00Z,"{'id': None, 'name': 'TechSpot'}"
14,10 AI Skills To Boost Your Salary Up To 47% In 2025,https://www.forbes.com/sites/rachelwells/2025/02/13/10-ai-skills-to-boost-your-salary-up-to-47-in-2025/,2025-02-13T17:00:31Z,"{'id': None, 'name': 'Forbes'}"
15,AMA survey: More doctors using – but lukewarm on trusting – AI,https://www.healthcareitnews.com/news/ama-survey-more-doctors-using-lukewarm-trusting-ai,2025-02-13T15:57:45Z,"{'id': None, 'name': 'Healthcare IT News'}"
16,Don’t Expect Google’s DeepMind Robots At The FIFA World Cup Anytime Soon,https://www.forbes.com/sites/dimitarmixmihov/2025/02/13/dont-expect-googles-deepmind-robots-at-the-fifa-world-cup-anytime-soon/,2025-02-13T15:15:12Z,"{'id': None, 'name': 'Forbes'}"
17,AI in Medical Imaging Market Size Projected to Reach USD 14.46 Bn By 2034,https://www.globenewswire.com/news-release/2025/02/13/3026027/0/en/AI-in-Medical-Imaging-Market-Size-Projected-to-Reach-USD-14-46-Bn-By-2034.html,2025-02-13T15:12:00Z,"{'id': None, 'name': 'GlobeNewswire'}"
18,Flow Cytometry Market Size to Worth USD 12.11 Billion by 2034,https://www.globenewswire.com/news-release/2025/02/13/3026012/0/en/Flow-Cytometry-Market-Size-to-Worth-USD-12-11-Billion-by-2034.html,2025-02-13T15:00:00Z,"{'id': None, 'name': 'GlobeNewswire'}"
19,‘There’s No Other Show Like It’,http://www.vulture.com/article/snl50-snl-cast-writers-legacy-history-survey.html,2025-02-13T14:00:31Z,"{'id': None, 'name': 'Vulture'}"
